Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
361,10909,039.0 096.0,19-4907BD-HY-185-0448-03900960-0250A-7,250,6.94,33.958,2.77,26.609,40.6,120.5018,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,6.94,6.92,33.958,26.6,145.8,0.58,2.77,40.6,,,,,,,,252.0,,,,,,,,
588,17856,035.0 134.0,19-4909BD-HY-251-0012-03501340-0800A-7,800,4.09,34.238,0.37,27.177,5.1,16.087,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.35,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,800.0,4.09,4.03,34.238,27.17,95.7,1.38,0.37,5.1,,3.35,,,,,,806.0,,,,,,,,
402,12112,092.0 117.0,19-4907CR-HY-184-1242-09201170-0250A-7,250,8.4,33.922,3.78,26.371,57.3,164.4774,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,1.03,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,8.4,8.37,33.922,26.37,169.1,0.67,3.78,57.3,,1.03,,,,,,251.0,,,,,,,,
1069,32979,070.0 120.0,19-5003BD-HY-063-1606-07001200-0300A-7,300,7.19,34.087,1.98,26.677,29.2,86.12914,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,300.0,7.19,7.16,34.087,26.67,140.3,0.65,1.98,29.2,,,,,,,,302.0,,,,,,,,
204,6137,018.0 018.0,19-4905HO-HY-120-1112-01800180-0020A-3,20,8.61,32.5,5.49,25.221,82.9,239.1517,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,20.0,8.61,8.61,32.5,25.22,274.1,0.05,5.49,82.9,,,,,,,,20.0,,,,,,,,
738,22669,112.0 078.0,19-4910CR-HY-282-1124-11200780-0125A-7,125,11.89,33.584,4.84,25.514,79.1,210.7767,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,125.0,11.89,11.87,33.584,25.51,249.1,0.4,4.84,79.1,,,,,,,,126.0,,,,,,,,
182,5527,072.0 056.0,19-4905CR-HY-128-0530-07200560-0800A-7,800,4.27,34.442,0.51,27.321,7.0,22.17087,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.46,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,800.0,4.27,4.21,34.442,27.32,82.7,1.0,0.51,7.0,,3.46,,,,,,807.0,,,,,,,,
137,4168,126.0 122.0,19-4904NS-HY-094-0354-12601220-0014A-3,14,16.52,33.91,5.52,24.791,99.4,240.5595,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,0.37,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,14.0,16.52,16.52,33.91,24.79,315.1,0.04,5.52,99.4,,0.37,,,,,,14.0,,,,,,,,
987,30485,090.0 120.0,19-5002CR-HY-036-1248-09001200-0154A-3,154,10.98,33.44,4.57,25.568,73.1,199.008,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,1.01,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,154.0,10.98,10.96,33.44,25.56,244.3,0.46,4.57,73.1,,1.01,,,,,,155.0,,,,,,,,
60,1827,113.3 137.0,19-4903NS-HY-069-0512-11331370-0250A-7,250,8.85,33.875,,26.265,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,8.85,8.82,33.875,26.26,179.4,0.7,,,,,,,,,,251.0,,,,,,,,
